Question,Answer
quel est le sujet du paragraphe,le sujet du paragraphe est ladmission à lecole centrale de lyon
comment sont appelés les étudiants admis à lecole centrale de lyon dans la formation ingénieur ,les étudiants admis à lecole centrale de lyon dans la formation ingénieur sont appelés élèves
quelles sont les deux voies dadmission en 1ère année de la formation ingénieur ,ladmission en 1ère année de la formation ingénieur seffectue par la voie du concours commun  centralesupélec  et par la voie de ladmission sur titre soit  casting  admission sur titres dingénieurs commun au groupe des ecoles centrales soit  enise 
quels sont les types dadmissions proposés dans le cadre des formations double diplômantes ,des admissions sur titres sont proposées en première année ou en seconde année par la commission des echanges universitaires concernant les étudiants inscrits dans des établissements partenaires étrangers
quels types détudiants peuvent être accueillis en 3e année à lecole centrale de lyon pour suivre une formation non conduisant au diplôme dingénieur,des étudiants en provenance duniversités étrangères ou dautres établissements français peuvent être accueillis en 3e année à lecole centrale de lyon pour suivre une formation non conduisant au diplôme dingénieur
quelles sont les conditions pour être officiellement inscrit à lecole centrale de lyon ,les élèves et les auditeurs doivent avoir acquitté les droits universitaires règlementaires sauf sils ont signé un contrat de professionnalisation
quelles sont les conditions dexonération des droits universitaires dans les universités en france ,les élèves bénéficiaires dune bourse accordée par letat les pupilles de la nation et les étudiants bénéficiant dune exonération en raison de leur situation personnelle tels que les réfugiés peuvent être exemptés de frais de scolarité universitaires en france en application du décret numéro 8413 du 5 janvier 1984
quelle assurance les élèves doiventils obligatoirement souscrire pendant toute leur scolarité à lecole centrale de lyon,les élèves doivent obligatoirement souscrire à une assurance responsabilité civile qui doit être valable pendant toute leur scolarité y compris la période des stages
comment se déroule la formation dingénieur à lecole centrale de lyon ,la formation dingénieur à lecole centrale de lyon se déroule en trois années divisées en six semestres dont les trois premiers s5 s6 s7 constituent le tronc commun les deux suivants s8 s9 forment le parcours electif et le dernier semestre s10 correspond à un stage appelé travail de fin detudes tfe
questce quune action de formation et quel est son rôle au sein des unités denseignement ,une action de formation est un ensemble dactivités planifiées regroupant des cours magistraux travaux dirigés travaux pratiques etc qui présentent les connaissances nécessaires pour le bon déroulement des autres activités
quelles sont les obligations concernant la participation et lassiduité des élèves dans le cursus de formation initiale,la participation à toutes les activités est obligatoire les absences doivent être justifiées et seules les absences pour force majeure sont autorisées
quel est lobjectif de lévaluation continue des élèves et des auditeurs,lobjectif est destimer leur niveau tout au long de lannée de les aider à progresser de les informer sur leur progression et de faciliter leurs choix et orientations
qui est responsable de lévaluation des élèves et des auditeurs à lécole,lévaluation des élèves et des auditeurs à lécole est du ressort exclusif des enseignants et des personnes ayant vocation à enseigner sous la supervision des conseils dunités denseignement et des responsables de parcours
quelles sont les conséquences des fraudes et des plagiats dans le contexte universitaire ,les sanctions prévues peuvent aller jusquà lexclusion définitive de tout établissement public denseignement supérieur
questce quune année de césure à lecole centrale de lyon,une année de césure à lecole centrale de lyon est la possibilité offerte aux élèves deffectuer une année supplémentaire pour réaliser un projet professionnel ou personnel
quel est lobjectif pédagogique de la mobilité à linternational pour les élèves de lecole centrale de lyon ,lobjectif pédagogique est de placer lélève en immersion dans un environnement socioculturel et socioprofessionnel différent à létranger afin de le former à évoluer dans un tel contexte lors de lexercice de son futur métier dingénieur
peuton personnaliser son cursus ingénieur à lecole centrale de lyon en effectuant une partie de la scolarité hors de lécole,oui le cursus ingénieur à lecole centrale de lyon peut être personnalisé en effectuant une partie de la scolarité hors de lécole selon deux modalités  en remplaçant des semestres complets par des études dans un autre établissement ou en remplaçant des actions de formation par des enseignements suivis dans une autre formation
quelles sont les différentes formes que peut prendre la validation dun ou plusieurs semestres complets dans le cursus ingénieur à lecole centrale de lyon ,la validation dun ou plusieurs semestres complets peut prendre plusieurs formes exclusives incluant lopportunité deffectuer des semestres dans des établissements étrangers ou partenaires de lecole centrale de lyon en remplacement de certains semestres du cursus initial
qui arrête la liste des élèves autorisés à effectuer des semestres à létranger et dans quels établissements,la liste des élèves autorisés à effectuer des semestres à létranger et dans dautres établissements est arrêtée par le directeur de lecole centrale de lyon sur proposition de la commission des echanges universitaires
que doit valider la commission daménagement du parcours electif ,le remplacement de la validation dune ou plusieurs actions de formation du parcours electif par la validation de cours suivis dans une autre formation
questce que le handicap selon le code de laction sociale et des familles ,le handicap est défini comme toute limitation dactivité ou restriction de participation à la vie en société subie par une personne en raison dune altération substantielle durable ou définitive de fonctions physiques sensorielles mentales cognitives ou psychiques dun polyhandicap ou dun trouble de santé invalidant
quels sont les trois jurys constitués chaque année par le directeur de lecole centrale de lyon ,le jury de tronc commun le jury de parcours electif et la commission des echanges universitaires ceu
quel est le protocole en cas dabsence dun membre du jury lors de la validation du tronc commun et du parcours electif ,le directeur de lécole désigne un remplaçant en cas dindisponibilité dun membre du jury
qui décide de la validation du tronc commun et du parcours electif pour une promotion donnée ,la validation du tronc commun et du parcours electif pour une promotion donnée est décidée par le jury de tronc commun ou de parcours electif respectivement
quelles sont les conditions pour autoriser un redoublement à lecole centrale de lyon ,le redoublement nest autorisé quune seule fois au cours de la scolarité sauf pour des raisons médicales
quel est le rôle du jury de parcours electif pour les élèves issus des concours,le jury de parcours electif examine lensemble de la scolarité des élèves issus des concours afin de les proposer au diplôme dingénieur de lecole centrale de lyon délivré par le recteur dacadémie représentant le ministre chargé de lenseignement supérieur
quelles sont les conditions requises pour obtenir le diplôme dingénieur de lecole centrale de lyon,la validation du tronc commun du parcours electif et dun ensemble dactivités définies dans le programme pédagogique est nécessaire
comment les élèves admis sur concours ou sur titres peuventils obtenir un double diplôme avec une université partenaire étrangère ,les élèves admis sur concours ou sur titres peuvent obtenir un double diplôme avec une université partenaire étrangère en quittant lécole en fin de quatrième semestre sous condition de validation du tronc commun élargi au s8 hors stage dapplication par le jury de tronc commun et en remplissant les conditions dobtention du diplôme de lecl et de luniversité partenaire
quelles sont les différentes formations double diplômantes ouvertes aux élèves admis sur concours à lecole centrale de lyon ,les formations double diplômantes ouvertes aux élèves admis sur concours à lecole centrale de lyon incluent le double diplôme en architecture en management en statistique et en administration economique en sciences médicales ainsi que des masters coaccrédités ou non avec dautres établissements tels que lecole normale supérieure de lyon et luniversité claude bernard lyon 1
questce que le diplôme detudes supérieures de lecole centrale de lyon valide ,le diplôme detudes supérieures de lecole centrale de lyon valide la validation des unités denseignement des semestres s9 et s10 et la réalisation des activités de ces semestres par un auditeur
quel est lobjectif de la commission devolution du règlement de scolarité ,lobjectif de la commission devolution du règlement de scolarité est dutiliser les retours dexpérience des jurys pour améliorer le règlement de scolarité et elle est mise en place chaque année par le directeur de lecole centrale de lyon
"comment peuton personnaliser son cursus dingénieur ,on peut personnaliser son cursus dingénieur en choisissant des options des spécialisations ou des projets spécifiques,A.1	",
"quelles sont les différentes variantes du cursus ingénieur ,il existe différentes variantes du cursus ingénieur,A.2	",
"quel est le sujet principal du paragraphe fourni ,les échanges universitaires,A.2.1	",
"questce que la commission des echanges universitaires ceu ,la commission des echanges universitaires ceu est une entité chargée de gérer les échanges universitaires,A.2.1	",
"quand estce que la commission des echanges universitaires estelle mise en place chaque année,la commission des echanges universitaires est mise en place chaque année avant le 15 novembre,A.2.1	",
"quels sont les membres composant la souscommission en charge des échanges internationaux ceu internationale et qui la préside ,la souscommission en charge des échanges internationaux ceu internationale est composée dau moins un représentant de la direction des formations dau moins un représentant de la direction du développement des relations internationales de représentants de lequipe denseignement de langues choisis en accord avec la direction du développement des relations internationales et des enseignants correspondants pays  elle est présidée par le directeur de lécole centrale de lyon ou son représentant,A.2.1	",
"qui préside la souscommission en charge des échanges en france ceu france ,le directeur de lécole centrale de lyon ou son représentant,A.2.1	",
"qui peut être invité par les souscommissions pour les assister dans leurs travaux,les responsables des équipes pédagogiques et des cursus,A.2.2	",
"quel est le thème abordé dans le paragraphe,les mobilités internationales,A.2.2	",
"quels sont les différents types de dossiers examinés par la ceu internationale pour ladmission à lecole centrale de lyon ,la ceu internationale examine les dossiers des étudiants candidats pour une scolarité de deux ans en vue du diplôme dingénieur généraliste en 3e année pour le desecl ou lacquisition de crédits ects ainsi que pour le certificat de formation à la recherche et ladmission pour un échange dun semestre en s8,A.2.2	",
"comment la ceu internationale examinetelle les dossiers des élèves ingénieurs centraliens candidats à une formation double diplômante ou un échange dans une université étrangère,la ceu internationale examine les dossiers des élèves ingénieurs centraliens candidats à une formation double diplômante ou un échange dans une université étrangère en se basant sur les critères présentés dans le dossier de demande et elle statue sur lautorisation à postuler dans un ou plusieurs établissements,A.2.3	",
"quel sujet est abordé dans ce paragraphe ,la mobilité en france,A.2.3	",
"quel est le rôle de la ceu france dans le recrutement des étudiants pour lecole centrale de lyon ,la ceu france examine les dossiers des candidats pour une admission à lecole centrale de lyon ou en double diplôme ainsi que des candidats pour une scolarité en 3e année en vue de lobtention du desecl,A.2.3	",
"quels sont les critères pris en compte par la ceu france pour examiner les dossiers des élèves ingénieurs centraliens candidats à une formation double diplomante ou un échange en france ,la ceu france examine les dossiers des élèves ingénieurs centraliens candidats à une formation double diplomante ou un échange en france selon les critères présentés dans le dossier de demande,A.3	",
"questce que la commission parcours electif,cest une commission chargée de superviser les choix de parcours individuels,A.3	",
"quel est lobjectif de la commission parcours electif ,lobjectif de la commission parcours electif est daffecter les élèves et les auditeurs du semestre s9 à lecole centrale de lyon aux différents métiers et options,A.4	",
"quelle est la commission mentionnée dans le paragraphe,la commission daménagement du parcours electif,A.4	",
"quelles sont les différentes possibilités daménagement du parcours electif à lecole centrale de lyon ,les différentes possibilités daménagement du parcours electif à lecole centrale de lyon comprennent le double cursus ingénieurmaster ingénieurarchitecte parcours entrepreneur parcours intrapreneur et divers cursus croisés nécessitant des emplois du temps aménagés et parfois des exceptions telles que le suivi dactions de formation détablissements extérieurs du collège des hautes etudes lyon sciences chels,A.4	",
"qui compose la commission mentionnée dans le paragraphe,la commission est composée du directeur des formations du responsable pédagogique du parcours electif dun représentant de la scolarité dun enseignant et dun étudiant du conseil des etudes et dun représentant de la commission devolution du règlement de scolarité,A.4	",
"que vise lévaluation des connaissances et des compétences ,lévaluation vise à mesurer les connaissances et les compétences acquises par un individu dans un domaine spécifique,B.1	",
"quelles sont les dispositions générales pour lévaluation des connaissances et des compétences disciplinaires,les dispositions générales pour lévaluation des connaissances et des compétences disciplinaires sont détaillées sous la section b11,B.1.1	",
"questce que la validation dune unité denseignement,la validation dune unité denseignement consiste à obtenir la reconnaissance officielle de lacquisition des compétences associées à cette unité,B.1.1	",
"comment se fait la reconnaissance dun niveau suffisant de connaissances et de compétences disciplinaires pour chaque élève et pour chaque auditeur,la reconnaissance dun niveau suffisant de connaissances et de compétences disciplinaires se fait par la validation dunités denseignement ue qui sont considérées validées si la somme pondérée des évaluations chiffrées des connaissances et compétences est égale ou supérieure à 1020,B.1.2	",
"questce que les crédits ects,les crédits ects sont une unité de mesure permettant de quantifier le travail détude réalisé par un étudiant dans lenseignement supérieur,B.1.2	",
"quelle est la conséquence de la validation dune ue en termes de crédits ects,la validation dune ue donne lieu à lattribution de crédits ects,B.2	",
"quel aspect est abordé dans ce paragraphe,lévaluation des connaissances au sein dune action de formation,B.2.1	",
"quelle est limportance de la responsabilité ,la responsabilité est essentielle car elle implique de prendre conscience de ses actions et den assumer les conséquences,B.2.1	",
"quelles sont les obligations des responsables dactions de formation en matière dévaluation et dencadrement des élèves et étudiants ,les responsables dactions de formation ont lobligation dévaluer les connaissances et les compétences des élèves dassurer lhomogénéité de lencadrement et de lévaluation des différents groupes de travail et de transmettre au service de la scolarité le relevé des absences,B.2.2	",
"quelles configurations peuvent être utilisées pour lévaluation des connaissances et compétences disciplinaires,lévaluation des connaissances et des compétences disciplinaires peut combiner épreuves écrites etou orales planifiées par le service de la scolarité épreuves dans le cadre des actions de formation ainsi que travaux de natures diverses réalisés par les élèves,B.2.2	",
"sur quel support doivent figurer les modalités pratiques propres à chaque action de formation ou par défaut à lunité denseignement,les modalités pratiques propres à chaque action de formation ou par défaut à lunité denseignement doivent figurer dans les fascicules pédagogiques,B.2.3	",
"questce que la notation numérique,la notation numérique est une méthode décriture des nombres à laide de chiffres,B.2.3	",
"comment est exprimée toute évaluation chiffrée au sein dune action de formation de connaissances et de compétences disciplinaires ,toute évaluation chiffrée au sein dune action de formation de connaissances et de compétences disciplinaires est exprimée exclusivement dans une échelle unique de 0 à 20,B.2.4	",
"quel est lobjet de lévaluation ,lobjet de lévaluation nest pas précisé dans le paragraphe,B.2.4	",
"quels sont les types dévaluation traditionnels utilisés pour évaluer les connaissances et compétences disciplinaires dans une action de formation,lexamen écrit individualisé pour les connaissances théoriques et lévaluation du travail effectué en travaux pratiques ou en projet sont les formes traditionnelles dévaluation utilisées,B.2.5	",
"que sont les notes de laf ,les notes de laf désignent les notes de lassociation française,B.2.5	",
"comment est évalué le savoir et le savoirfaire dans le cadre de laction de formation,les notes de savoir et de savoirfaire sont traduites en une note sur 20 appelée note de savoir de laf et note de savoirfaire de laf résultant de la combinaison de notes dexamen théoriques et de travaux pratiques,B.2.6	",
"questce que la note globale de laf,la note globale de laf est un indicateur synthétique qui résume la qualité dune entreprise sur différents aspects,B.2.6	",
"comment est calculée la note globale dune action de formation ,la note globale dune action de formation est obtenue par une somme pondérée des différentes notes de savoir et de savoirfaire de laction de formation,B.2.7	",
"quelle est la procédure pour transmettre et publier des notes numériques ,il est possible de transmettre et publier des notes numériques en les envoyant par email en les téléchargeant sur une plateforme en ligne ou en les partageant sur les réseaux sociaux,B.2.7	",
"quand les notes de savoir et de savoirfaire dune action de formation doiventelles être transmises au service de la scolarité,les notes de savoir et de savoirfaire dune action de formation doivent être transmises au service de la scolarité par le responsable de laction de formation au plus tard trois semaines après la fin de laction de formation sauf dans des cas spécifiques comme celui du semestre s6 où elles ne doivent pas être transmises plus dune semaine après la fin du semestre,B.2.7	",
"quand les résultats sontils publiés et comment les rectifications doiventelles être signalées,les résultats sont publiés par le service de la scolarité et les rectifications doivent être signalées par écrit par le responsable de laction de formation dans un délai de trois semaines après la publication,B.2.8	",
"quelles mesures doivent être prises en cas dabsence à une épreuve de contrôle continu ou à une séance de tp,suite à une absence à une épreuve de contrôle continu ou à une séance de tp il est recommandé de contacter rapidement lenseignant ou ladministration pour expliquer la situation et convenir dune solution adéquate,B.2.8	",
"en quoi les mesures varientelles selon que labsence de lélève ou de lauditeur est autorisée ou non,les mesures varient selon que labsence de lélève ou de lauditeur est autorisée ou non,B.2.8	",
"quel est le concept principal évoqué dans ce paragraphe,labsence autorisée,B.2.8	",
"quelles sont les règles et mesures définies par chaque conseil dunité denseignement en cas dabsence autorisée dun élève à une épreuve de contrôle continu ,chaque conseil dunité denseignement définit des règles et mesures précises en cas dabsence autorisée dun élève à une épreuve de contrôle continu portant sur la possibilité dun rattrapage ses modalités pratiques et la prise en compte dans lévaluation des connaissances présentées dans les fascicules pédagogiques,B.2.8	",
"quelles sont les conséquences dune absence non autorisée ,une absence non autorisée peut entraîner des sanctions disciplinaires,B.2.8	",
quelles sont les conséquences de labsence non autorisée dun élève ou dun auditeur à une séance de tp ou à une épreuve de contrôle continu ,toute absence non autorisée entraîne au minimum lattribution de la note de 0 pour lévaluation de la séance ou de lépreuve
quel est le rôle du conseil de lunité denseignement ,le conseil de lunité denseignement assure la cohésion des modalités dévaluation des connaissances et garantit labsence de disparités flagrantes dans les notations des différentes actions de formation de lue concernée
comment sont évaluées les unités denseignement ue ,chaque ue est évaluée à travers une note chiffrée basée sur la somme pondérée des notes des actions de formation quelle comprend ainsi quune note globale obtenue par la pondération des notes de chaque action de formation
quelles conditions permettent de valider une ue pour un élève ou un auditeur ,une ue est validée si la note globale est supérieure ou égale à 1020 sauf règles spécifiques de validation présentées en section b32
quelle est la tâche du directeur du conseil de lunité denseignement,le directeur du conseil de lunité denseignement vérifie la cohérence des notes de savoir etou de savoirfaire due saisies sur le site web du service de la scolarité
"quelles informations le conseil de lue peutil transmettre au service de la scolarité dans certains cas spécifiques,le conseil de lue peut transmettre au service de la scolarité des informations strictement destinées à renseigner le jury sur le travail et le comportement général des élèves et auditeurs concernés notamment pour ceux dont les notes obtenues ne permettent pas de valider lue ou pour ceux désignés par le jury,B.3.2	",
"questce que le paragraphe aborde principalement ,le paragraphe aborde les dispositions spécifiques,B.3.2	",
"comment se regroupent les unités denseignement du tronc commun et du parcours electif,les unités denseignement se regroupent par type selon leurs objectifs pédagogiques et leurs modalités de fonctionnement,B.3.2	",
quels sont les objectifs principaux des unités denseignement disciplines scientifiques,les unités denseignement disciplines scientifiques doivent au moins évaluer le savoir
quel moment permet dévaluer les connaissances des étudiants lors de la première session dexamen,la première session dexamen permet dévaluer le savoir des étudiants
questce que comprend lexamen du savoir de chaque unité denseignement disciplines scientifiques,lexamen du savoir de chaque unité denseignement disciplines scientifiques comprend au moins une épreuve terminale écrite individuelle planifiée par le service de la scolarité
quelles sont les différentes formes que peuvent prendre les épreuves de contrôle continu ,les épreuves de contrôle continu peuvent prendre la forme dépreuves écrites de questionnaires à choix multiples de travaux personnels présentés oralement en td etc
quelle est la proportion minimale que doivent représenter les épreuves écrites individuelles terminales dans la note globale due ,la contribution des épreuves écrites individuelles terminales doit correspondre à au moins 50  de la note globale due
quel type de session dexamen est évoqué dans ce paragraphe ,il sagit de la seconde session dexamen dune unité denseignement en disciplines scientifiques
quelles sont les conditions pour être convoqué à une seconde session dexamen pour une ue non validée ,pour être convoqué à une seconde session dexamen pour une ue non validée lélève ou lauditeur doit avoir une note globale de lue strictement inférieure à 1020 et la seconde session doit être organisée par le service de la scolarité durant le semestre suivant
qui sont les deux catégories délèves et dauditeurs concernées par le passage des épreuves de la seconde session dexamen dune ue,les deux catégories concernées sont les élèves et auditeurs absents à au moins une épreuve de la première session dexamen de lue et ceux nayant pas validé leur ue du fait dune note globale insuffisante
quelles sont les conséquences de labsence dun élève ou dun auditeur à une épreuve de la première session ,labsence à une épreuve de la première session entraîne limpossibilité pour le jury de valider lue correspondante
quarrivetil à un élève qui na pas validé une unité denseignement ue et décide de ne pas participer à la seconde session dexamen,sa note de première session est conservée
estce que les deux catégories détudiants ont la possibilité de repasser le rattrapage des autres épreuves de lue,oui les deux catégories détudiants ont la possibilité de repasser le rattrapage des autres épreuves de lue à condition den informer le service de la scolarité dans un délai fixé par celuici
comment est recalculée la note de savoir de chaque action de formation en cas de participation à la seconde session ,la note de savoir de chaque action de formation est recalculée à partir des notes des épreuves terminales de la seconde session sans prendre en compte les notes dun éventuel contrôle continu des connaissances
quel type de cas concerne lunité denseignement disciplines scientifiques,ce cas concerne les choix multiples dans les disciplines scientifiques
questce quune ue disciplines scientifiques à choix multiples,une ue disciplines scientifiques à choix multiples est une ue où les actions de formation sont déterminées à partir du choix de lélève ou de lauditeur avec une évaluation du savoir notamment à travers une épreuve terminale écrite individuelle comptant pour au moins 50  de la note globale
sur quoi est basée la validation dune unité denseignement professionnelle,la validation dune unité denseignement professionnelle est basée sur la réalisation dactivités de lue par lélève et sur une évaluation du savoir etou savoirfaire
quels sont les stages qui constituent une unité denseignement dans le cursus ingénieur ,chaque stage du cursus ingénieur constitue une unité denseignement
questce que sont les unités denseignement de langues et cultures,ce sont des cours qui enseignent une langue étrangère ainsi que les aspects culturels associés à cette langue
questce qui est évalué par les ue langues et cultures,seul le savoirfaire est évalué par les ue langues et cultures
quel est le mode dévaluation des connaissances et compétences dans une ue langues et cultures ,lévaluation se fait par un contrôle continu et une épreuve terminale individuelle cette dernière comptant pour au moins 50 de la note totale de laction de formation
comment se déroule le rattrapage de lexamen terminal dune action de formation pour les ue de langues et cultures du tronc commun,le rattrapage de lexamen terminal dune action de formation se fait par une épreuve écrite individuelle de 2 heures lors de la seconde session dexamen
quelles sont les modalités de rattrapage pour les ue de langues et cultures du parcours electif en cas dabsence autorisée à lépreuve terminale,en cas dabsence autorisée à lépreuve terminale pour les ue de langues et cultures du parcours electif une épreuve de rattrapage sera proposée suivant les mêmes modalités que lépreuve initiale à condition que son organisation soit matériellement possible
quels types de cours sont inclus dans les unités denseignement spécifiques au parcours electif ,des cours particuliers dédiés aux matières et aux compétences spécifiques choisies par létudiant sont inclus dans les unités denseignement spécifiques au parcours electif
quels sont les différents éléments qui composent lensemble due mentionné ,cet ensemble due comprend lue electif lue  modules ouverts disciplinaires  mod lue métier et lue secteur qui regroupe les  modules ouverts secteur  mos et les  modules spécifiques option  mso
quelles sont les principales caractéristiques des actions de formation multidisciplinaires à choix multiples dans le cadre de lue electif lue mod et les mos de lue secteur ,ces actions de formation impliquent une évaluation des connaissances par une épreuve écrite individuelle de savoir dune durée de 1 à 2 heures avec la possibilité de rattrapage en cas dabsence autorisée et une validation du contrôle de connaissances par le conseil de lunité denseignement
quels sont les critères dévaluation des actions de formation de lue métier et des mso de lue secteur ,les critères dévaluation incluent la participation active des élèves et des auditeurs la présence le comportement général adaptation intégration travail personnel autonomie aptitude à travailler en équipe ainsi que la possibilité dune évaluation chiffrée avec laccord du conseil de lunité denseignement concernée
questce que les unités denseignement spécifiques au parcours electif,ce sont des ue dont les af résultent du choix de lélève et sont validées si la note globale de chaque action de formation est supérieure ou égale à 10
quelles mesures peuvent être prises si la note globale dune action de formation est inférieure à 10 mais que la note globale dune unité denseignement est égale ou supérieure à 10,le conseil de lunité denseignement peut faire une proposition motivée de validation au jury de parcours electif pour lélève ou lauditeur concerné basée sur son travail personnel son implication les notes de compétence de lue et labsentéisme
"que se passetil si la note globale due est inférieure à 10,la validation de lue est directement discutée par le jury,B.4	",
"quels types daménagements peuvent être apportés à lévaluation des connaissances ,des aménagements tels que des conditions spécifiques dexamen des périodes de repos supplémentaires ou lutilisation de technologies dassistance peuvent être mis en place pour les élèves avec des besoins particuliers,B.4	",
quels sont les types daménagements possibles pour le contrôle des connaissances,les aménagements peuvent être faits pour le niveau linguistique scientifique ou culturel
quelles sont les décisions prises par chaque conseil dunité denseignement concernant lévaluation des connaissances dune ue ,chaque conseil dunité denseignement décide sil faut aménager lévaluation pour le niveau linguistique et définit les règles daménagement telles que le tiers temps supplémentaire ou un sujet différencié
quel est lobjectif de laménagement pour raison linguistique prévu à lécole centrale de lyon,laménagement pour raison linguistique est prévu pour les étudiants non francophones venant préparer le diplôme dingénieur de lécole centrale de lyon et qui ne sont pas titulaires dun baccalauréat français
comment un étudiant peutil demander un aménagement à lécole centrale de lyon ,un étudiant peut en faire la demande à son entrée à lécole centrale de lyon auprès du service de la scolarité avant une date fixée par le service de la scolarité
quels enseignements devra suivre un étudiant bénéficiant dun aménagement pour raison linguistique,létudiant devra suivre lenseignement de français langue etrangère ou lenseignement de français écrit selon la décision des enseignants de langue
