Question,Answer
quelle est la durée maximale de laménagement pour les ue dédiées aux sciences de lingénieur,la durée maximale de cet aménagement pour les ue dédiées aux sciences de lingénieur est limitée à un an
quels élèves peuvent bénéficier dun aménagement pour raison scientifique et quelles sont les modalités prévues,les élèves concernés sont ceux en double diplôme issus dune université étrangère sans aménagement linguistique les élèves architectes pour les s5 et s6 et les élèves de lemlyon business school en double diplôme pour le tronc commun les aménagements peuvent inclure un tiers temps supplémentaire un sujet différencié etc et ces règles sont définies par chaque conseil dunité denseignement
qui estce qui définit si lévaluation des connaissances nécessite un aménagement pour raison culturelle pour les élèves admis en double diplôme issus dune université étrangère,le conseil de lunité denseignement relevant des sciences humaines et sociales
"quels sont les aménagements possibles pour un élève ingénieur participant au programme déchange du chels lyon sciences ,le programme déchange du chels lyon sciences permet à un élève ingénieur de remplacer la validation de certaines ue par des actions de formation suivies dans un établissement extérieur avec un nombre de crédits ects décidé par la direction des formations sur la base du dossier de lélève,B.4.5	",
"quel type daménagement est prévu pour les élèves ingénieurs en double diplôme master,des aménagements spécifiques sont prévus pour les élèves ingénieurs en double diplôme master,B.4.5	",
"quelles sont les possibilités pour un élève de 3ème année à lecl inscrit à un diplôme national de master en termes de reconnaissance déquivalence pour certains modules ,un élève de 3ème année à lecl inscrit à un diplôme national de master peut demander la reconnaissance de léquivalence dun à trois des modules parmi les  modules ouverts disciplinaires  mod  modules ouverts secteur  mos et les  modules spécifiques option  mso en libre choix avec un ou plusieurs enseignements du master coaccrédité par lecl ou appartenant à la liste de masters inscrits dans le fasicule pédagogique ainsi que de un à deux modules métier,B.4.5	",
"quelle comparaison peuton établir entre la soutenance du travail de recherche de master et la soutenance du stage final du cursus ingénieur,elles peuvent être associées dans le respect des règles de déroulement des soutenances de tfe,B.5	",
"questce que signifie b51 dans le contexte de lévaluation des compétences transversales,b51 est une référence spécifique à une catégorie ou un critère dévaluation des compétences transversales,B.5.1	",
"quelle est la section du document traitée dans ce paragraphe,ce paragraphe concerne les dispositions générales de la section b511 du document,B.5.1	",
"questce que la validation dune compétence transversale ,la validation dune compétence transversale consiste à reconnaître et à attester quune personne possède une compétence qui peut être appliquée dans différents contextes et domaines,B.5.1	",
"comment se fait la reconnaissance dun niveau suffisant pour une compétence du réferentiel présenté dans les fascicules pédagogiques,la reconnaissance se fait par la validation dau moins deux composantes définies dans les fascicules pédagogiques avec lobtention dau moins une fois le niveau acquis note c au niveau compétent pour chaque composante,B.5.1	",
"questce que les crédits ects ,les crédits ects sont une unité de mesure utilisée dans lenseignement supérieur européen pour quantifier le travail des étudiants et faciliter la mobilité internationale,B.5.1	",
"estce que la validation dune compétence transversale donne lieu à lattribution de crédits ects,non la validation dune compétence transversale ne donne pas lieu à lattribution de crédits ects,B.5.2	",
"quel est le thème de lévaluation des compétences transversales b521,la responsabilité,B.5.2	",
"quelle est lobligation des responsables de parcours en termes dévaluation des compétences transversales des élèves,les responsables de parcours ont lobligation de sassurer que les compétences transversales de tous les élèves seront effectivement évaluées à lissue du parcours dont ils ont la responsabilité,B.5.2	",
"comment est exprimée lévaluation de la composante dune compétence transversale,lévaluation de la composante dune compétence transversale est exprimée exclusivement par une lettre appartenant à lensemble f c a,B.5.2	",
"quel est le niveau de la quantité dont il est question ,il est insuffisant,B.5.2	",
"quel mot est indiqué par la lettre c,le mot acquis est indiqué par la lettre c,B.5.2	",
"que signifie le terme remarquable ,il signifie exceptionnel ou digne dattention particulière,B.5.2	",
"quel processus est décrit dans ce paragraphe ,la transmission et la publication des notes alphabétiques,B.5.2	",
"quand les notes alphabétiques doiventelles être transmises au service de la scolarité,au plus tard trois semaines après lévaluation par les enseignants en charge de lévaluation,B.5.2	",
"quelles mesures doivent être prises en cas dabsence à une évaluation,lélève doit contacter lenseignant pour justifier son absence et convenir dune éventuelle séance de rattrapage,B.5.2	",
"qui décide des mesures et où serontelles mentionnées ,les responsables de parcours décident des mesures et les mentionnent dans le fascicule pédagogique,B.5.2	",
"questce qui est en train dêtre discuté dans ce paragraphe ,laménagement de lévaluation des compétences transversales,B.5.2	",
"quels types daménagements peuvent être décidés par les responsables de parcours pour un élève ,des aménagements peuvent être décidés pour un élève par les responsables de parcours à partir de lexamen de son cas à sa demande,B.6	",
"quel est le contenu du dossier scolaire de lélève mentionné ,le contenu du dossier scolaire de lélève mentionné est b61,B.6.1	",
"quelle est létape finale du processus de sélection dun candidat pour un concours,la transmission au jury,B.6.1	",
"quels éléments composent lensemble des notes transmis au jury à la fin du semestre ,les notes de savoir et de savoirfaire évaluées les notes globales due et les notes de compétences transversales,B.6.2	",
"quels éléments sont généralement présents dans un dossier,des documents des informations et des pièces justificatives peuvent être inclus dans un dossier,B.6.2	",
"quels éléments sont inclus dans le dossier scolaire dun élève selon le service de la scolarité,le dossier scolaire dun élève comprend les feuilles de synthèse semestrielles les relevés de résultats des unités denseignement des compétences transversales des informations des conseils dunité denseignement ainsi que dautres documents personnalisés comme les certificats médicaux les relevés dabsences et les avertissements éventuels,B.6.3	",
"questce que les feuilles de synthèse ,les feuilles de synthèse sont des documents qui récapitulent de manière concise les informations essentielles dun sujet donné,B.6.3	",
quels éléments sont mentionnés dans les feuilles de synthèse semestrielles pour chaque élève ,les notes globales de chaque action de formation et de chaque ue suivies les notes de compétences transversales la position par rapport à sa demipromotion et promotion pour chaque unité denseignement le nombre de crédits ects obtenus lindication de la réalisation des activités les scores dans les examens linguistiques et les décisions des jurys
où sont définies les modalités de gestion des fraudes dans le domaine de léducation supérieure ,les modalités de gestion des fraudes sont définies dans le code de léducation livre viii titre ier section 2
quelles mesures le surveillant responsable de la salle doitil prendre en cas de flagrant délit de fraude aux examens ou concours,le surveillant responsable de la salle doit prendre toutes les mesures pour faire cesser la fraude sans interrompre la participation à lépreuve et saisir les pièces ou matériels permettant détablir ultérieurement la réalité des faits
quelles sont les sanctions disciplinaires encourues par lauteur de la fraude selon larticle r81111,les sanctions disciplinaires encourues sont lavertissement le blâme exclusion de létablissement pour une durée maximum de cinq ans exclusion définitive de létablissement exclusion de tout établissement public denseignement supérieur pour une durée maximum de cinq ans et exclusion définitive de tout établissement public denseignement supérieur
quelle est la conséquence de la sanction prononcée en cas de fraude ou tentative de fraude durant une épreuve,la sanction entraîne la nullité de lépreuve correspondante voire du groupe dépreuves ou de la session dexamen
qui saisit la section disciplinaire selon le code de léducation ,selon larticle r81110 et larticle r71229 du code de léducation cest le directeur de lecole qui saisit la section disciplinaire
questce que le plagiat et quelles sont les conséquences associées à cette pratique,le plagiat consiste à faire passer pour siens des travaux ou des fragments de travaux produits par autrui et peut entraîner des sanctions civiles indemnisation de la victime et pénales lourdes amendes en tant que délit de contrefaçon
quel est le but de la commission antiplagiat et qui en fait partie,la commission antiplagiat est instituée dans lobjectif de réunir les faits en cas de présomption de plagiat et est constituée dun expert technique en tice dun membre du service de la scolarité des représentants des unités denseignement et de lenseignant concernés par le plagiat la présence dun représentant de lunité denseignement et de lenseignant concernés est obligatoire
dans quels cas les élèves ingénieurs et auditeurs peuventils bénéficier dune autorisation dabsence délivrée par la direction des formations ,les cas comprennent notamment les convocations à des contrôles des connaissances des examens des activités en tant que responsable dassociation délèves des convocations officielles à des jurys conseils commissions de lecole centrale de lyon ou des autorités administratives ainsi que pour des convenances personnelles approuvées par le service de la scolarité à condition de ne pas concerner des sessions dévaluation
quelles sont les conditions pour que la demande dautorisation dabsence pour un contrôle des connaissances soit recevable ,la demande dautorisation dabsence pour un contrôle des connaissances est recevable que si elle est déposée par lélève auprès du service de la scolarité le plus tôt possible et au plus tard 5 jours ouvrables précédant la date du contrôle et si linscription en licence est effectuée à luniversité de lyon et déclarée au service de la scolarité avant la fin octobre de lannée dinscription
quelles sont les conditions pour quune demande dautorisation dabsence soit recevable pour des activités de lassociation des elèves de lecole centrale de lyon ,la demande dautorisation dabsence est recevable si elle est déposée auprès du service de la scolarité le plus tôt possible et au plus tard 5 jours ouvrables suivant le premier jour de lactivité sous la forme dune liste délèves concernés par lactivité et arrêtée sous la responsabilité du vp concerné
quelles sont les conséquences dune demande dautorisation dabsence formulée en dehors des délais et formes précisés,la demande dautorisation dabsence formulée en dehors des délais et formes précisés est non recevable sauf cas relevant de la section d5
qui est habilité à traiter les demandes pour des motifs à caractère exceptionnel,seul le directeur de lécole est habilité à traiter les demandes pour des motifs à caractère exceptionnel
quelles sont les étapes à suivre pour un élève justifiant dune absence,lélève doit se procurer les contenus manqués et contacter les responsables pour organiser un rattrapage selon les règles établies
combien de fois un élève peutil effectuer une année de césure à lecole centrale de lyon ,un élève ne peut effectuer quune seule année de césure au cours de sa scolarité à lecole centrale de lyon
que se passetil avec le statut détudiant pendant une année de césure,lélève conserve son statut détudiant pendant une année de césure
questce que la parenthèse dans la formation de lélève permet ,la parenthèse dans la formation de lélève lui permet de réaliser un projet personnel ou professionnel
qui prend la décision daccorder une année de césure ,le directeur de lecole centrale de lyon
quels sont les membres qui composent la commission césure,la commission césure est composée du directeur des formations dun représentant du service de la scolarité du responsable du tronc commun du responsable du parcours electif de deux permanents membres du conseil des etudes et de deux élèves membres du conseil des etudes
quand le directeur de lecole centrale de lyon peutil accorder une césure sans validation de la commission césure ,le directeur de lecole centrale de lyon peut accorder une césure exceptionnellement sans que le dossier de demande ait été validé par la commission césure
questce qui conditionne la décision daccorder une césure ,labsence dune mesure de redoublement ou de renvoi prise par le jury de tronc commun ou de parcours electif
quels sont les aménagements prévus pour les élèves et auditeurs présentant un handicap selon le décret de 2005 ,les aménagements prévus pour les élèves et auditeurs présentant un handicap selon le décret de 2005 incluent des conditions spéciales pour le déroulement des épreuves une majoration du temps imparti pour les épreuves la conservation des notes obtenues et la possibilité détalement des épreuves sur plusieurs sessions
qui met en œuvre les aménagements prévus par le décret,les aménagements prévus par le décret sont mis en œuvre par lecole centrale de lyon
quand les élèves en situation de handicap doiventils déposer une demande daménagement à lecole centrale de lyon ,les élèves en situation de handicap doivent déposer une demande daménagement à lecole centrale de lyon lors de leur inscription sils sont déjà handicapés ou dès que leur handicap se déclare en cours de scolarité
quelle est létape suivante après que lélève ou lauditeur ait déposé sa demande daménagement,létudiant est examiné par la médecine préventive universitaire de lecole centrale de lyon qui émet un avis sur sa demande daménagement à condition quil apporte les documents médicaux justifiant son état
quelles sont les décisions prises quant aux aménagements nécessaires des examens et autres contrôles de connaissance pour les élèves ayant des besoins spécifiques ,en concertation avec lélève ou lauditeur et la médecine préventive universitaire de lecole centrale de lyon la direction des formations décide des aménagements nécessaires tels que le tiers temps supplémentaire lassistance par un enseignant la composition à part lutilisation de matériels adaptés etc ces aménagements peuvent aller jusquà la dispense de certains travaux pratiques en fonction des besoins spécifiques
quelles sont les décisions dadaptation du déroulement de la formation ingénieur possibles,les décisions dadaptation du déroulement de la formation ingénieur peuvent inclure létalage du suivi et de la validation des ue sur une période plus longue ainsi que la possibilité de conserver les notes des examens supérieures à 1020 pendant 5 ans en cas de redoublement dune ue non validée
quelles conséquences lapplication des règles peutelle avoir sur la durée maximale dinscription à lecole centrale de lyon ,lapplication des règles peut entraîner pour un élève ou un auditeur en situation de handicap le dépassement de la durée maximale dinscription à lecole centrale de lyon qui est de 34 ans
quelles sont les conditions pour obtenir le diplôme detudes supérieures de lecole centrale de lyon,lobtention du diplôme est subordonnée à la validation dun ensemble dunités denseignement définies dans le fascicule pédagogique de la 3ème année
quels sont les critères pour quun étudiant soit accepté à lecole centrale de lyon pour un programme de formation spécifique ,un étudiant peut être accepté à lecole centrale de lyon pour effectuer un programme de formation spécifique en validant au minimum 30 crédits ects obtenus grâce à la validation due du cursus ingénieur de lecole centrale de lyon ainsi quen effectuant un stage de 3 à 6 mois dans un laboratoire de lécole il doit également attester dun niveau de français suffisant
combien de membres appartiennent respectivement au jury de tronc commun et au jury de parcours electif ,au moins 13 membres appartiennent au jury de tronc commun et au jury de parcours electif
qui est responsable de la mise en place des jurys des ajustements et des renouvellements parmi leurs membres,le directeur de lecole centrale de lyon prononce ces décisions en début de s5 pour le jury de tronc commun et en début de s8 pour le jury de parcours electif
quels postes sont attribués au sein du bureau du jury ,le bureau du jury est composé dun président dun viceprésident dun secrétaire et dun secrétaire adjoint
quelle est linitiative permettant de convoquer un jury,le jury est convoqué sur linitiative de son président en particulier à la demande de la direction des formations
quelles sont les règles concernant les délibérations et les prises de décisions au sein de ce groupe ,les délibérations ont lieu à huis clos les décisions sont prises par vote à la majorité absolue des membres présents ou représentés un membre peut recevoir au plus le pouvoir dun autre membre le vote à bulletin secret est organisé à la demande dau moins un membre en cas dégalité de vote la voix du président est prépondérante
quels sont les éléments que les jurys étudient avant de prendre une décision sur la validation dune ue ,les jurys étudient lensemble des éléments du dossier de lélève ou de lauditeur tels que les fiches de synthèse les relevés de notes les certificats de validation dactivités les relevés dabsences et les avis des responsables dunité denseignement et dactivités coordonnées
quand un élève peutil être convoqué par le jury pour être auditionné,un élève peut être convoqué par le jury pour être auditionné dans un but préventif ou pour compléter les éléments de son dossier avant une prise de décision par le jury
quelles modalités le jury suitil pour la délivrance de crédits ects ,le jury suit les modalités définies à lannexe i conditions de validation de crédits ects page 29
quelle est la responsabilité des jurys,les jurys ont la charge dappliquer les mesures prévues à la suite à lexception de toute autre
comment les élèves ou auditeurs convoqués pour être auditionnés sontils avertis,ils sont avertis par courrier papier ou électronique si une mesure est prise par le jury ils sont avertis par courrier recommandé avec accusé de réception
quels sont les critères pris en compte par le jury de tronc commun pour les élèves dune même promotion,le jury de tronc commun prend en compte les critères des semestres suivis et les différentes catégories délèves notamment ceux engagés dans des double diplômes avec des écoles partenaires
quels sont les objectifs du jury de première année ,le jury de première année se réunit plusieurs fois pour faire le point sur les élèves en difficulté examiner la validation des ue et prendre des mesures pour les élèves en double diplôme avec une université étrangère
quelles sont les principales tâches du jury de tronc commun lors de ses réunions à différents moments de lannée académique ,le jury de tronc commun se réunit à plusieurs reprises pour examiner la validation des ue interdire la convocation à certaines sessions dexamen délivrer des avertissements si nécessaire prendre des mesures en cas de nonvalidation du tronc commun décider de la validation par compensation des ue non validées et proposer des mesures pour les élèves en double diplôme avec une université étrangère
quelles sont les différentes catégories délèves que le jury de parcours electif prend en compte lors de ses délibérations,le jury de parcours electif prend en compte les élèves suivis sur les semestres s8 et s9 les élèves suivis sur les semestres s7 s8 et s9 ainsi que les élèves suivis sur le semestre s9 et les catégorise en fonction de leur admission et de leur double diplôme potentiel avec diverses écoles ou universités
quels sont les objectifs des réunions organisées à la fin du quatrième et sixième semestre pour les élèves,les réunions ont pour but dexaminer la validation des ue de chaque élève de traiter les cas déchec de convoquer les élèves en situation délicate pour audition par le jury de prendre des mesures pour les élèves non admis en seconde année de double diplôme avec une université étrangère et de proposer des mesures pour les élèves admis en seconde année de double diplôme avec une université étrangère
quand estce que le jury de parcours electif se réunit en particulier et quelles sont les principales actions quil effectue lors de ces réunions ,le jury de parcours electif se réunit en particulier durant le quatrième semestre au début du cinquième semestre au cours du sixième semestre et à la fin du sixième semestre il examine la validation des ue prend des décisions et propose des mesures pour les élèves en parcours electif etendu ou réduit ainsi que pour ceux admis dans le cadre de doublediplômes avec des universités étrangères
quels critères le jury de parcours electif examinetil pour proposer un élève au diplôme dingénieur de lecole centrale de lyon ,le jury de parcours electif examine les critères tels que la validation des ue du parcours electif du stage et lobtention du diplôme dingénieur selon le type de parcours suivi par létudiant
"quel diplôme est proposé aux élèves admis en double diplôme par le jury de parcours electif ,le diplôme dingénieur de lecole centrale de lyon délivré par le recteur dacadémie représentant le ministre chargé de lenseignement supérieur,J.3.3	",
"questce que la validation par compensation due non validées,il sagit du fait dobtenir la validation dun parcours malgré des ue non validées en compensant ces dernières avec dautres ue validées,J.3.3	",
"quelles sont les conditions pour valider le tronc commun ou le parcours electif dun élève à la fin du quatrième semestre,un élève doit avoir validé lensemble des ue des semestres s5 s6 s7 et s8 ou s8 s9 et s10 hors ue stage pour valider le tronc commun etendu ou parcours electif etendu,J.3.3	",
"quel est lobjectif du jury dans lévaluation des élèves ingénieurs,lobjectif du jury est de sassurer que chaque élève a acquis un socle suffisant en savoir et savoirfaire ainsi quun socle en compétences transversales jugés nécessaires à lexercice de la fonction dingénieur sans appliquer de formule mécanique de compensation,J.3.3	",
"quels éléments sont pris en compte dans la procédure de référence pour lévaluation des élèves,les notes de savoir de savoirfaire de compétences transversales limplication dans la scolarité labsentéisme non autorisé et les avis des conseils des unités denseignement,J.3.3	",
"comment le jury évaluetil si un élève est insuffisant en savoir ou en savoirfaire dans une discipline ,le jury examine les notes de savoir resp savoirfaire de lélève pour chaque ue calcule les sommes pondérées des notes de savoir resp savoirfaire par semestre et sur lensemble du parcours en utilisant des coefficients de pondération basés sur les crédits ects,J.3.3	",
"pour quune validation par compensation puisse avoir lieu il est nécessaire que les deux notes en question soient supérieures ou égales à un seuil de 1020 cependant même dans ce cas le jury peut décider de ne pas valider les ue par compensation,le jury examine les notes de savoir resp savoirfaire de lélève pour chaque ue calcule les sommes pondérées des notes de savoir resp savoirfaire par semestre et sur lensemble du parcours en utilisant des coefficients de pondération basés sur les crédits ects,J.3.3	",
"comment est évaluée lacquisition des compétences transversales par lélève ,lacquisition des compétences transversales par lélève est évaluée à partir des notes alphabétiques de compétence obtenues,J.3.3	",
"questce que labsentéisme non autorisé traduit chez lélève ,labsentéisme non autorisé traduit un manque dimplication de lélève dans sa scolarité ainsi quun nonrespect des engagements visàvis de lécole,J.3.3	",
"en quoi la nonvalidation dune ue professionnelle estelle défavorable à la validation par compensation ,la nonvalidation dune ue professionnelle est défavorable à la validation par compensation car les résultats obtenus dans ces ue donnent des indications sur limplication réelle de lélève dans sa scolarité,J.3.3	",
"quelle est la procédure pour obtenir les arguments de la décision de la direction des formations,les arguments de la décision peuvent être obtenus sur demande écrite à la direction des formations,J.3.3	",
quarrivetil à la note obtenue pour une ue validée par le jury par compensation ,la note obtenue pour une ue validée par le jury par compensation nest pas modifiée dans la fiche de synthèse de lélève mais la validation par compensation est explicitement mentionnée
quelles sont les mesures prises par le jury en cas de nonvalidation du tronc commun etendu ou du parcours electif etendu ,le jury peut décider dappliquer différentes mesures comme limiter linscription de lélève à une seule langue avec un volume horaire renforcé ou informer lélève quune nonréalisation dune activité stage le placerait en position de sursis pour lobtention du diplôme dingénieur
quelles sont les décisions possibles du jury du tronc commun ou du parcours electif en cas de nonvalidation du tronc commun etendu ou du parcours electif etendu par un élève,le jury peut décider soit de proposer le redoublement à lecole centrale de lyon ou exceptionnellement dans une autre ecole centrale de lintergroupe soit de refuser la réinscription à lecole centrale de lyon en cas dinsuffisance des résultats et dengagement de lélève
sous quelles conditions le jury peutil décider dun redoublement dès la fin du second semestre pour un élève en difficulté à lecole centrale de lyon ,le jury peut prendre cette décision dans le cas exceptionnel dun élève ayant une scolarité difficile même si les épreuves de la seconde session du s6 nont pas été passées
quel est lobjectif du redoublement scolaire,lobjectif du redoublement est de combler les lacunes de lélève mises en évidence par la non validation due
quelles sont les mesures prises par le jury pour garantir lefficacité du redoublement pour lélève,le jury propose un programme de formation adapté qui prend en compte la scolarité de lélève redoublant son profil les ue à refaire la possibilité de valider un stage et la substitution du stage par un semestre dans une université étrangère
quelles activités un redoublant doitil refaire sil doit refaire une ue ,le redoublant doit refaire lintégralité des activités des actions de formation de lue y compris les tps et épreuves dexamen et de contrôle continu
dans quels cas le stage estil décidé par le jury ,le stage est décidé par le jury dans deux cas  lorsquil remplace le rattrapage des ue non validées et lorsque le nombre due à valider par le redoublement est suffisamment faible
quelles sont les étapes à suivre à la fin du stage pour lélève en question,lélève doit rédiger un rapport de stage tel que défini pour le tfe puis passer une soutenance devant un jury constitué du tuteur du travail du professeur conseiller principal de lélève et dun représentant du jury
sur quoi se base la décision du jury pour réintégrer un élève redoublant dans le cursus ingénieur normal ,la décision du jury se base sur lensemble du dossier de lélève afin dévaluer si le bilan du redoublement est positif
quelles sont les modalités de redoublement en cas de non validation due de s8 après un redoublement décidé par le jury de tronc commun ,le jury de parcours electif peut rajouter lobligation de refaire tout ou partie des ue de s8 non validées
sous quelles conditions un élève peutil bénéficier dun redoublement pour raison médicale,un élève peut bénéficier dun redoublement pour raison médicale sil dépose une demande 15 jours avant le jury avec lavis favorable du médecin traitant de la médecine préventive de lecole de la direction des formations et du président du jury
comment un redoublant pour raison médicale peutil remplacer son stage obligatoire ,en déposant un projet dactivités complémentaires validé par la direction des formations et des représentants du jury concerné
sur quels critères le directeur baseratil ses décisions concernant la validation du parcours lobtention du diplôme ou le redoublement pour les élèves admis dans le cadre dun double diplôme avec une université étrangère ,le directeur basera ses décisions sur les nécessités du partenariat avec luniversité étrangère concernée
qui décide de la validation dun parcours étendu à lecole centrale de lyon ,le directeur de lecole centrale de lyon
qui peut décider de lobtention du diplôme dingénieur de lecole centrale de lyon ,le directeur de lecole centrale de lyon peut décider de lobtention du diplôme dingénieur
quelle est la durée maximale dun redoublement ,la durée maximale dun redoublement peut être limitée à 6 mois si cela suffit pour suivre les cours non validés
quelles mesures peuvent être prises par le jury en cas de scolarité difficile dun élève en première ou deuxième année,le jury peut proposer au directeur de lecole dès la fin du second ou quatrième semestre de son parcours de suspendre la scolarité de lélève ou de lui permettre de passer les épreuves de la seconde session pour valider des crédits ects en sinscrivant en tant quauditeur libre
quels sont les deux types de procès verbaux rédigés à lissue dun jury de parcours,le pv officiel complet et le pv anonyme
quel est lobjectif de la commission devolution du règlement de scolarité ,lobjectif de la commission devolution du règlement de scolarité est de profiter au mieux et le plus rapidement possible des retours dexpérience de chaque jury
quel est lobjectif pédagogique de la mobilité à linternational pour les élèves ,lobjectif est de placer lélève en immersion dans un environnement socioculturel et socioprofessionnel différent en lui demandant de valider une activité séjours à létranger pendant son cursus ingénieur
quelles sont les différentes formes que peuvent prendre les séjours à létranger dans le cadre de la formation universitaire ,les séjours à létranger dans le cadre de la formation universitaire peuvent prendre la forme de stages à létranger de semestres détudes dans une université étrangère de double diplôme de semestre pendant une année de césure dactivité sabbatique à létranger en accord avec la commission césure etc
quels pays sont considérés comme appropriés pour la réalisation du séjour à létranger,les pays francophones tels que la belgique la suisse le canada et lafrique francophone sont considérés comme appropriés pour cela
combien de semaines de séjour à létranger lélève doitil valider pour que cette activité soit validée ,lélève doit valider 21 semaines de séjour à létranger pour que cette activité soit validée
quelles sont les périodes de stage validées,les périodes de stage sont validées si elles interviennent dans le cadre dun stage dapplication dun travail de fin detudes ou dun stage en césure conventionnée selon les modalités de validation présentées dans le fascicule pédagogique
quels sont les critères pour valider un semestre détude dans une université à létranger,un semestre détude dans une université à létranger est validé si lélève obtient 30 crédits ects ou leur équivalent au quatrième semestre valide 2 semestres à 30 crédits ects et effectue son travail de fin detudes aux cinquième et sixième semestres ou aux quatrième et cinquième semestres valide un double diplôme dans une université étrangère partenaire de lecole centrale de lyon ou obtient 30 crédits ects ou équivalents lors dune année de césure
